datetime,trips_total,hour,weekday,month,is_weekend,trips_lag_1,trips_rolling_24h_mean
2025-04-01 00:00:00,130,0,1,4,0,,130.0
2025-04-01 01:00:00,68,1,1,4,0,130.0,99.0
2025-04-01 02:00:00,26,2,1,4,0,68.0,74.66666666666667
2025-04-01 03:00:00,23,3,1,4,0,26.0,61.75
2025-04-01 04:00:00,44,4,1,4,0,23.0,58.2
2025-04-01 05:00:00,156,5,1,4,0,44.0,74.5
2025-04-01 06:00:00,719,6,1,4,0,156.0,166.57142857142858
2025-04-01 07:00:00,1923,7,1,4,0,719.0,386.125
2025-04-01 08:00:00,3758,8,1,4,0,1923.0,760.7777777777778
2025-04-01 09:00:00,2064,9,1,4,0,3758.0,891.1
2025-04-01 10:00:00,1067,10,1,4,0,2064.0,907.0909090909091
2025-04-01 11:00:00,948,11,1,4,0,1067.0,910.5
2025-04-01 12:00:00,1127,12,1,4,0,948.0,927.1538461538462
2025-04-01 13:00:00,1122,13,1,4,0,1127.0,941.0714285714286
2025-04-01 14:00:00,1065,14,1,4,0,1122.0,949.3333333333334
2025-04-01 15:00:00,1245,15,1,4,0,1065.0,967.8125
2025-04-01 16:00:00,1771,16,1,4,0,1245.0,1015.0588235294117
2025-04-01 17:00:00,3337,17,1,4,0,1771.0,1144.0555555555557
2025-04-01 18:00:00,3140,18,1,4,0,3337.0,1249.1052631578948
2025-04-01 19:00:00,1799,19,1,4,0,3140.0,1276.6
2025-04-01 20:00:00,1100,20,1,4,0,1799.0,1268.1904761904761
2025-04-01 21:00:00,710,21,1,4,0,1100.0,1242.8181818181818
2025-04-01 22:00:00,567,22,1,4,0,710.0,1213.4347826086957
2025-04-01 23:00:00,258,23,1,4,0,567.0,1173.625
2025-04-02 00:00:00,101,0,2,4,0,258.0,1172.4166666666667
2025-04-02 01:00:00,51,1,2,4,0,101.0,1171.7083333333333
2025-04-02 02:00:00,27,2,2,4,0,51.0,1171.75
2025-04-02 03:00:00,26,3,2,4,0,27.0,1171.875
2025-04-02 04:00:00,52,4,2,4,0,26.0,1172.2083333333333
2025-04-02 05:00:00,148,5,2,4,0,52.0,1171.875
2025-04-02 06:00:00,684,6,2,4,0,148.0,1170.4166666666667
2025-04-02 07:00:00,1867,7,2,4,0,684.0,1168.0833333333333
2025-04-02 08:00:00,3770,8,2,4,0,1867.0,1168.5833333333333
2025-04-02 09:00:00,1988,9,2,4,0,3770.0,1165.4166666666667
2025-04-02 10:00:00,1105,10,2,4,0,1988.0,1167.0
2025-04-02 11:00:00,977,11,2,4,0,1105.0,1168.2083333333333
2025-04-02 12:00:00,1244,12,2,4,0,977.0,1173.0833333333333
2025-04-02 13:00:00,1238,13,2,4,0,1244.0,1177.9166666666667
2025-04-02 14:00:00,1139,14,2,4,0,1238.0,1181.0
2025-04-02 15:00:00,1296,15,2,4,0,1139.0,1183.125
2025-04-02 16:00:00,1797,16,2,4,0,1296.0,1184.2083333333333
2025-04-02 17:00:00,3259,17,2,4,0,1797.0,1180.9583333333333
2025-04-02 18:00:00,3161,18,2,4,0,3259.0,1181.8333333333333
2025-04-02 19:00:00,1960,19,2,4,0,3161.0,1188.5416666666667
2025-04-02 20:00:00,1279,20,2,4,0,1960.0,1196.0
2025-04-02 21:00:00,779,21,2,4,0,1279.0,1198.875
2025-04-02 22:00:00,668,22,2,4,0,779.0,1203.0833333333333
2025-04-02 23:00:00,327,23,2,4,0,668.0,1205.9583333333333
2025-04-03 00:00:00,152,0,3,4,0,327.0,1208.0833333333333
2025-04-03 01:00:00,65,1,3,4,0,152.0,1208.6666666666667
2025-04-03 02:00:00,33,2,3,4,0,65.0,1208.9166666666667
2025-04-03 03:00:00,31,3,3,4,0,33.0,1209.125
2025-04-03 04:00:00,52,4,3,4,0,31.0,1209.125
2025-04-03 05:00:00,145,5,3,4,0,52.0,1209.0
2025-04-03 06:00:00,644,6,3,4,0,145.0,1207.3333333333333
2025-04-03 07:00:00,1875,7,3,4,0,644.0,1207.6666666666667
2025-04-03 08:00:00,3705,8,3,4,0,1875.0,1204.9583333333333
2025-04-03 09:00:00,2082,9,3,4,0,3705.0,1208.875
2025-04-03 10:00:00,1129,10,3,4,0,2082.0,1209.875
2025-04-03 11:00:00,1121,11,3,4,0,1129.0,1215.875
2025-04-03 12:00:00,1270,12,3,4,0,1121.0,1216.9583333333333
2025-04-03 13:00:00,1248,13,3,4,0,1270.0,1217.375
2025-04-03 14:00:00,1129,14,3,4,0,1248.0,1216.9583333333333
2025-04-03 15:00:00,1317,15,3,4,0,1129.0,1217.8333333333333
2025-04-03 16:00:00,1858,16,3,4,0,1317.0,1220.375
2025-04-03 17:00:00,3315,17,3,4,0,1858.0,1222.7083333333333
2025-04-03 18:00:00,3181,18,3,4,0,3315.0,1223.5416666666667
2025-04-03 19:00:00,1932,19,3,4,0,3181.0,1222.375
2025-04-03 20:00:00,1309,20,3,4,0,1932.0,1223.625
2025-04-03 21:00:00,877,21,3,4,0,1309.0,1227.7083333333333
2025-04-03 22:00:00,741,22,3,4,0,877.0,1230.75
2025-04-03 23:00:00,371,23,3,4,0,741.0,1232.5833333333333
2025-04-04 00:00:00,189,0,4,4,0,371.0,1234.125
2025-04-04 01:00:00,88,1,4,4,0,189.0,1235.0833333333333
2025-04-04 02:00:00,51,2,4,4,0,88.0,1235.8333333333333
2025-04-04 03:00:00,33,3,4,4,0,51.0,1235.9166666666667
2025-04-04 04:00:00,62,4,4,4,0,33.0,1236.3333333333333
2025-04-04 05:00:00,141,5,4,4,0,62.0,1236.1666666666667
2025-04-04 06:00:00,559,6,4,4,0,141.0,1232.625
2025-04-04 07:00:00,1302,7,4,4,0,559.0,1208.75
2025-04-04 08:00:00,2436,8,4,4,0,1302.0,1155.875
2025-04-04 09:00:00,1604,9,4,4,0,2436.0,1135.9583333333333
2025-04-04 10:00:00,1112,10,4,4,0,1604.0,1135.25
2025-04-04 11:00:00,1176,11,4,4,0,1112.0,1137.5416666666667
2025-04-04 12:00:00,1426,12,4,4,0,1176.0,1144.0416666666667
2025-04-04 13:00:00,1493,13,4,4,0,1426.0,1154.25
2025-04-04 14:00:00,1456,14,4,4,0,1493.0,1167.875
2025-04-04 15:00:00,1547,15,4,4,0,1456.0,1177.4583333333333
2025-04-04 16:00:00,2061,16,4,4,0,1547.0,1185.9166666666667
2025-04-04 17:00:00,2853,17,4,4,0,2061.0,1166.6666666666667
2025-04-04 18:00:00,2763,18,4,4,0,2853.0,1149.25
2025-04-04 19:00:00,1859,19,4,4,0,2763.0,1146.2083333333333
2025-04-04 20:00:00,1159,20,4,4,0,1859.0,1139.9583333333333
2025-04-04 21:00:00,779,21,4,4,0,1159.0,1135.875
2025-04-04 22:00:00,725,22,4,4,0,779.0,1135.2083333333333
2025-04-04 23:00:00,507,23,4,4,0,725.0,1140.875
2025-04-05 00:00:00,313,0,5,4,1,507.0,1146.0416666666667
2025-04-05 01:00:00,228,1,5,4,1,313.0,1151.875
2025-04-05 02:00:00,120,2,5,4,1,228.0,1154.75
